Date,Time,City,Temperature,Humidity,Wind Speed,Weather
2025-03-09,13:10:49,Patna,31.69,11,2.54,clear sky
2025-03-09,13:10:51,Bhopal,33.38,12,2.52,clear sky
2025-03-09,13:10:54,Ludhiana,31.32,14,1.18,broken clouds
2025-03-09,13:10:56,Agra,33.71,10,1.96,clear sky
2025-03-09,13:10:58,Varanasi,34.48,8,1.28,clear sky
2025-03-09,13:11:00,Surat,35.75,18,3.22,clear sky
2025-03-09,13:11:02,Visakhapatnam,29.22,56,4.04,clear sky
2025-03-09,13:11:35,Delhi,31.51,11,1.43,clear sky
2025-03-09,13:11:37,Mumbai,30.5,41,4.88,clear sky
2025-03-09,13:11:39,Kolkata,33.42,23,2.04,clear sky
2025-03-09,13:11:41,Chennai,29.25,51,5.22,clear sky
2025-03-09,13:11:43,Bengaluru,33.43,13,4.65,broken clouds
2025-03-09,13:11:46,Hyderabad,34.14,16,4.14,clear sky
2025-03-09,13:11:48,Pune,34.42,12,2.29,clear sky
2025-03-09,13:11:50,Ahmedabad,37.1,12,0.14,clear sky
2025-03-09,13:11:52,Jaipur,32.32,12,4.09,clear sky
2025-03-09,13:11:54,Lucknow,32.27,10,1.45,clear sky
2025-03-09,13:11:57,Kanpur,33.19,9,2.46,clear sky
2025-03-09,13:11:59,Guwahati,31.69,17,2.92,clear sky
2025-03-09,13:12:01,Indore,33.55,12,3.84,clear sky
2025-03-09,13:12:03,Patna,32.4,10,3.09,clear sky
2025-03-09,13:12:05,Bhopal,33.38,12,2.52,clear sky
2025-03-09,13:12:08,Ludhiana,31.32,14,1.18,broken clouds
2025-03-09,13:12:10,Agra,33.71,10,1.96,clear sky
2025-03-09,13:12:12,Varanasi,34.48,8,1.28,clear sky
2025-03-09,13:12:14,Surat,35.75,18,3.22,clear sky
2025-03-09,13:12:16,Visakhapatnam,29.22,56,4.04,clear sky
2025-03-09,13:12:49,Delhi,31.51,11,1.43,clear sky
2025-03-09,13:12:51,Mumbai,30.5,41,4.88,clear sky
2025-03-09,13:12:53,Kolkata,33.42,23,2.04,clear sky
2025-03-09,13:12:55,Chennai,29.25,51,5.22,clear sky
2025-03-09,13:12:57,Bengaluru,33.43,13,4.65,broken clouds
2025-03-09,13:13:00,Hyderabad,34.14,16,4.14,clear sky
2025-03-09,13:13:02,Pune,34.42,12,2.29,clear sky
2025-03-09,13:13:04,Ahmedabad,37.1,12,0.14,clear sky
2025-03-09,13:13:06,Jaipur,32.32,12,4.09,clear sky
2025-03-09,13:13:09,Lucknow,32.27,10,1.45,clear sky
2025-03-09,13:13:11,Kanpur,33.19,9,2.46,clear sky
2025-03-09,13:13:13,Guwahati,31.69,17,2.92,clear sky
2025-03-09,13:13:15,Indore,33.55,12,3.84,clear sky
2025-03-09,13:13:17,Patna,32.4,10,3.09,clear sky
2025-03-09,13:13:20,Bhopal,33.38,12,2.52,clear sky
2025-03-09,13:13:22,Ludhiana,31.32,14,1.18,broken clouds
2025-03-09,13:13:24,Agra,33.71,10,1.96,clear sky
2025-03-09,13:13:26,Varanasi,34.48,8,1.28,clear sky
2025-03-09,13:13:28,Surat,35.75,18,3.22,clear sky
2025-03-09,13:13:31,Visakhapatnam,29.22,56,4.04,clear sky
