Station Name,URL,Duration,Filepath,Timestamp
BBC World Service,http://stream.live.vc.bbcmedia.co.uk/bbc_world_service,62,RadioStream-30_Public_AM_FM\BBC World Service_2025-03-09_22-37-34.wav,2025-03-09_22-38-27
NPR News,https://npr-ice.streamguys1.com/live.mp3,87,RadioStream-30_Public_AM_FM\NPR News_2025-03-09_22-38-28.wav,2025-03-09_22-39-52
